 ISTEP , IPRSTP ,NBNTOT, TIME ,ARRAY(002),ARRAY(003),ARRAY(004),ARRAY(005),ARRAY(006),ARRAY(007),ARRAY(008),ARRAY(009),ARRAY(010),ARRAY(011),ARRAY(012),ARRAY(013),ARRAY(014),ARRAY(015),ARRAY(016),ARRAY(017),ARRAY(018),ARRAY(019),ARRAY(020),ARRAY(021),ARRAY(022),ARRAY(023),ARRAY(024),ARRAY(025),
11759,11800,25, 0.11559000E+005, 0.66624106E+003, 0.75971234E+003, 0.75982376E+003, 0.62815000E+003, 0.64644702E+003, 0.75663720E+003, 0.75889921E+003, 0.75774417E+003, 0.66152698E+003, 0.17297576E+002, 0.17310105E+002, 0.29484719E+002, 0.49732740E-001,-0.10815168E-005, 0.90225704E+001, 0.90224647E+001, 0.90223618E+001, 0.98643103E+002,-0.17541657E+003,-0.19567761E+002, 0.00000000E+000, 0.00000000E+000, 0.34845687E+007, 0.55370892E+002,
11959,12000,25, 0.11759000E+005, 0.66596941E+003, 0.75972089E+003, 0.75981760E+003, 0.62815000E+003, 0.64647927E+003, 0.75671302E+003, 0.75902773E+003, 0.75781067E+003, 0.66130975E+003, 0.16878834E+002, 0.16901547E+002, 0.29382361E+002, 0.90177410E-001,-0.18951413E-005, 0.97810291E+001, 0.97809179E+001, 0.97808105E+001, 0.98442154E+002,-0.16723381E+003,-0.22995861E+002, 0.00000000E+000, 0.00000000E+000, 0.34821610E+007, 0.55357348E+002,
12159,12200,25, 0.11959000E+005, 0.66543170E+003, 0.75973794E+003, 0.75981222E+003, 0.62815000E+003, 0.64646837E+003, 0.75679543E+003, 0.75916622E+003, 0.75788889E+003, 0.66072325E+003, 0.16458802E+002, 0.16481114E+002, 0.29328511E+002, 0.88584899E-001,-0.18605428E-005, 0.10922865E+002, 0.10922740E+002, 0.10922619E+002, 0.98300161E+002,-0.15901728E+003,-0.28678322E+002, 0.00000000E+000, 0.00000000E+000, 0.34759572E+007, 0.55342319E+002,
12359,12400,25, 0.12159000E+005, 0.66470174E+003, 0.75973888E+003, 0.75980756E+003, 0.62815000E+003, 0.64648762E+003, 0.75688911E+003, 0.75931773E+003, 0.75798519E+003, 0.66010112E+003, 0.16125870E+002, 0.16139698E+002, 0.29355545E+002, 0.54941879E-001,-0.10395625E-005, 0.13694395E+002, 0.13694258E+002, 0.13694126E+002, 0.98307585E+002,-0.15249724E+003,-0.45078170E+002, 0.00000000E+000, 0.00000000E+000, 0.34699276E+007, 0.55309405E+002,
12559,12600,25, 0.12359000E+005, 0.66390848E+003, 0.75977060E+003, 0.75980344E+003, 0.62815000E+003, 0.64656785E+003, 0.75699556E+003, 0.75947706E+003, 0.75810349E+003, 0.65978223E+003, 0.15993959E+002, 0.16000081E+002, 0.29432615E+002, 0.24547445E-001, 0.16962961E-006, 0.15048662E+002, 0.15048521E+002, 0.15048385E+002, 0.98434298E+002,-0.14987029E+003,-0.54434767E+002, 0.00000000E+000, 0.00000000E+000, 0.34669980E+007, 0.55293660E+002,
12759,12800,25, 0.12559000E+005, 0.66316398E+003, 0.75982432E+003, 0.75980005E+003, 0.62815000E+003, 0.64667012E+003, 0.75710459E+003, 0.75962116E+003, 0.75823361E+003, 0.65982156E+003, 0.15879543E+002, 0.15882366E+002, 0.29494456E+002, 0.11509795E-001, 0.60853247E-006, 0.16170585E+002, 0.16170545E+002, 0.16170515E+002, 0.98554155E+002,-0.14767317E+003,-0.62853870E+002, 0.00000000E+000, 0.00000000E+000, 0.34675604E+007, 0.55296988E+002,
12959,13000,25, 0.12759000E+005, 0.66247786E+003, 0.75987831E+003, 0.75979733E+003, 0.62815000E+003, 0.64678628E+003, 0.75721596E+003, 0.75974246E+003, 0.75837387E+003, 0.66009213E+003, 0.15811014E+002, 0.15811452E+002, 0.29536400E+002, 0.20121727E-002, 0.73676937E-006, 0.17502828E+002, 0.17502674E+002, 0.17502524E+002, 0.98648160E+002,-0.14635739E+003,-0.73637155E+002, 0.00000000E+000, 0.00000000E+000, 0.34703355E+007, 0.55312352E+002,
13159,13200,25, 0.12959000E+005, 0.66186431E+003, 0.75992188E+003, 0.75979637E+003, 0.62815000E+003, 0.64691497E+003, 0.75733089E+003, 0.75983445E+003, 0.75852109E+003, 0.66048429E+003, 0.15765875E+002, 0.15764934E+002, 0.29562034E+002,-0.35277032E-002, 0.66904222E-006, 0.18789004E+002, 0.18788849E+002, 0.18788696E+002, 0.98717338E+002,-0.14549748E+003,-0.84857082E+002, 0.00000000E+000, 0.00000000E+000, 0.34742528E+007, 0.55333893E+002,
13359,13400,25, 0.13159000E+005, 0.66133809E+003, 0.75995361E+003, 0.75979893E+003, 0.62815000E+003, 0.64705282E+003, 0.75745254E+003, 0.75985839E+003, 0.75866842E+003, 0.66091677E+003, 0.15728066E+002, 0.15726979E+002, 0.29575100E+002,-0.41920957E-002, 0.44270171E-006, 0.19934212E+002, 0.19934051E+002, 0.19933889E+002, 0.98764485E+002,-0.14479774E+003,-0.95516566E+002, 0.00000000E+000, 0.00000000E+000, 0.34785257E+007, 0.55357312E+002,
13559,13600,25, 0.13359000E+005, 0.66090010E+003, 0.75997155E+003, 0.75980320E+003, 0.62815000E+003, 0.64719759E+003, 0.75758465E+003, 0.75977951E+003, 0.75880193E+003, 0.66133740E+003, 0.15690671E+002, 0.15689700E+002, 0.29580691E+002,-0.38178700E-002, 0.19307426E-006, 0.20554041E+002, 0.20553857E+002, 0.20553666E+002, 0.98798114E+002,-0.14411210E+003,-0.10154885E+003, 0.00000000E+000, 0.00000000E+000, 0.34829602E+007, 0.55362450E+002,
13759,13800,25, 0.13559000E+005, 0.66054177E+003, 0.75997533E+003, 0.75980820E+003, 0.62815000E+003, 0.64734751E+003, 0.75772598E+003, 0.75967354E+003, 0.75890928E+003, 0.66171866E+003, 0.15650775E+002, 0.15650092E+002, 0.29582575E+002,-0.27576320E-002,-0.70457019E-007, 0.20248272E+002, 0.20248088E+002, 0.20247896E+002, 0.98819634E+002,-0.14338540E+003,-0.98549968E+002, 0.00000000E+000, 0.00000000E+000, 0.34866942E+007, 0.55382840E+002,
13959,14000,25, 0.13759000E+005, 0.66024981E+003, 0.75996669E+003, 0.75981359E+003, 0.62815000E+003, 0.64750100E+003, 0.75787162E+003, 0.75958673E+003, 0.75899050E+003, 0.66205597E+003, 0.15608623E+002, 0.15608200E+002, 0.29583286E+002,-0.17902542E-002,-0.27506959E-006, 0.19425091E+002, 0.19424906E+002, 0.19424713E+002, 0.98838280E+002,-0.14261881E+003,-0.90699876E+002, 0.00000000E+000, 0.00000000E+000, 0.34902900E+007, 0.55383356E+002,
14159,14200,25, 0.13959000E+005, 0.66001060E+003, 0.75994879E+003, 0.75981898E+003, 0.62815000E+003, 0.64765653E+003, 0.75801680E+003, 0.75955691E+003, 0.75905241E+003, 0.66234919E+003, 0.15563647E+002, 0.15563686E+002, 0.29583528E+002,-0.64953213E-005,-0.45127637E-006, 0.18427330E+002, 0.18427145E+002, 0.18426955E+002, 0.98853760E+002,-0.14180648E+003,-0.81621651E+002, 0.00000000E+000, 0.00000000E+000, 0.34931587E+007, 0.55398997E+002,
14359,14400,25, 0.14159000E+005, 0.65981110E+003, 0.75993523E+003, 0.75982401E+003, 0.62815000E+003, 0.64781271E+003, 0.75815694E+003, 0.75963180E+003, 0.75910700E+003, 0.66260670E+003, 0.15522735E+002, 0.15522518E+002, 0.29583985E+002,-0.82980537E-003, 0.10968715E-006, 0.17001823E+002, 0.17001649E+002, 0.17001472E+002, 0.98866959E+002,-0.14105729E+003,-0.69481876E+002, 0.00000000E+000, 0.00000000E+000, 0.34956931E+007, 0.55412808E+002,
14559,14600,25, 0.14359000E+005, 0.65963913E+003, 0.75994437E+003, 0.75982888E+003, 0.62815000E+003, 0.64796934E+003, 0.75827830E+003, 0.75975277E+003, 0.75915889E+003, 0.66283325E+003, 0.15474113E+002, 0.15474460E+002, 0.29584606E+002, 0.13811596E-002,-0.19299820E-007, 0.14063538E+002, 0.14063279E+002, 0.14063014E+002, 0.98879197E+002,-0.14018520E+003,-0.47541156E+002, 0.00000000E+000, 0.00000000E+000, 0.34979225E+007, 0.55424953E+002,
14759,14800,25, 0.14559000E+005, 0.65949110E+003, 0.75994701E+003, 0.75983377E+003, 0.62815000E+003, 0.64812351E+003, 0.75837785E+003, 0.75986655E+003, 0.75920765E+003, 0.66303211E+003, 0.15421944E+002, 0.15422695E+002, 0.29575137E+002, 0.29399994E-002,-0.17059916E-006, 0.11822147E+002, 0.11822020E+002, 0.11821893E+002, 0.98885523E+002,-0.13924888E+003,-0.33594894E+002, 0.00000000E+000, 0.00000000E+000, 0.34998718E+007, 0.55435559E+002,
14959,15000,25, 0.14759000E+005, 0.65936017E+003, 0.75994392E+003, 0.75983864E+003, 0.62815000E+003, 0.64827322E+003, 0.75845865E+003, 0.75996074E+003, 0.75925225E+003, 0.66319211E+003, 0.15364076E+002, 0.15365282E+002, 0.29557151E+002, 0.47214601E-002,-0.28736737E-006, 0.98219284E+001, 0.98218277E+001, 0.98217269E+001, 0.98886468E+002,-0.13821408E+003,-0.23188577E+002, 0.00000000E+000, 0.00000000E+000, 0.35014247E+007, 0.55443997E+002,
15159,15200,25, 0.14959000E+005, 0.65924044E+003, 0.75993700E+003, 0.75984336E+003, 0.62815000E+003, 0.64841402E+003, 0.75852280E+003, 0.76003451E+003, 0.75929130E+003, 0.66331267E+003, 0.15298873E+002, 0.15300647E+002, 0.29537008E+002, 0.69573040E-002,-0.38533347E-006, 0.80325031E+001, 0.80324246E+001, 0.80323462E+001, 0.98880709E+002,-0.13705370E+003,-0.15508949E+002, 0.00000000E+000, 0.00000000E+000, 0.35025935E+007, 0.55450333E+002,
15359,15400,25, 0.15159000E+005, 0.65912106E+003, 0.75992742E+003, 0.75984780E+003, 0.62815000E+003, 0.64853386E+003, 0.75857319E+003, 0.76009120E+003, 0.75932452E+003, 0.66337703E+003, 0.15214729E+002, 0.15218121E+002, 0.29505439E+002, 0.13367757E-001,-0.55884315E-006, 0.66386511E+001, 0.66385884E+001, 0.66385259E+001, 0.98853072E+002,-0.13557926E+003,-0.10593519E+002, 0.00000000E+000, 0.00000000E+000, 0.35031808E+007, 0.55453465E+002,
15559,15600,25, 0.15359000E+005, 0.65898239E+003, 0.75991645E+003, 0.75985181E+003, 0.62815000E+003, 0.64860725E+003, 0.75861496E+003, 0.76013695E+003, 0.75935385E+003, 0.66331731E+003, 0.15051826E+002, 0.15060158E+002, 0.29447940E+002, 0.32985083E-001,-0.96549753E-006, 0.60596875E+001, 0.60596312E+001, 0.60595754E+001, 0.98772951E+002,-0.13277926E+003,-0.88263475E+001, 0.00000000E+000, 0.00000000E+000, 0.35024778E+007, 0.55449481E+002,
15759,15800,25, 0.15559000E+005, 0.65877913E+003, 0.75990608E+003, 0.75985532E+003, 0.62815000E+003, 0.64864231E+003, 0.75865424E+003, 0.76017871E+003, 0.75938305E+003, 0.66306390E+003, 0.14839001E+002, 0.14849088E+002, 0.29391009E+002, 0.39965349E-001,-0.10708565E-005, 0.62386380E+001, 0.62385817E+001, 0.62385258E+001, 0.98682797E+002,-0.12908350E+003,-0.93553522E+001, 0.00000000E+000, 0.00000000E+000, 0.34998848E+007, 0.55435208E+002,
15959,16000,25, 0.15759000E+005, 0.65846374E+003, 0.75990242E+003, 0.75985829E+003, 0.62815000E+003, 0.64868597E+003, 0.75869287E+003, 0.76021839E+003, 0.75941339E+003, 0.66273614E+003, 0.14700176E+002, 0.14707071E+002, 0.29374129E+002, 0.27361552E-001,-0.60890990E-006, 0.62354503E+001, 0.62353998E+001, 0.62353499E+001, 0.98667998E+002,-0.12662619E+003,-0.93457942E+001, 0.00000000E+000, 0.00000000E+000, 0.34966595E+007, 0.55417648E+002,
16159,16200,25, 0.15959000E+005, 0.65805032E+003, 0.75991285E+003, 0.75986084E+003, 0.62815000E+003, 0.64875593E+003, 0.75872796E+003, 0.76025311E+003, 0.75944247E+003, 0.66252448E+003, 0.14623331E+002, 0.14626649E+002, 0.29386686E+002, 0.13251208E-001,-0.55191813E-007, 0.55909689E+001, 0.55909244E+001, 0.55908802E+001, 0.98718633E+002,-0.12524514E+003,-0.75137151E+001, 0.00000000E+000, 0.00000000E+000, 0.34946793E+007, 0.55406986E+002,
16359,16400,25, 0.16159000E+005, 0.65763830E+003, 0.75990984E+003, 0.75986321E+003, 0.62815000E+003, 0.64884346E+003, 0.75875771E+003, 0.76028155E+003, 0.75946835E+003, 0.66250561E+003, 0.14523133E+002, 0.14526721E+002, 0.29402991E+002, 0.14127709E-001,-0.62474361E-006, 0.53807148E+001, 0.53806708E+001, 0.53806272E+001, 0.98789994E+002,-0.12353965E+003,-0.69592192E+001, 0.00000000E+000, 0.00000000E+000, 0.34945975E+007, 0.55406690E+002,
16559,16600,25, 0.16359000E+005, 0.65723135E+003, 0.75989665E+003, 0.75986532E+003, 0.62815000E+003, 0.64893150E+003, 0.75879029E+003, 0.76031143E+003, 0.75949803E+003, 0.66263745E+003, 0.14457615E+002, 0.14459911E+002, 0.29404083E+002, 0.90166062E-002,-0.46996289E-006, 0.67817877E+001, 0.67817403E+001, 0.67816938E+001, 0.98842609E+002,-0.12240592E+003,-0.11055260E+002, 0.00000000E+000, 0.00000000E+000, 0.34959590E+007, 0.55414203E+002,
16759,16800,25, 0.16559000E+005, 0.65683295E+003, 0.75988418E+003, 0.75986693E+003, 0.62815000E+003, 0.64901694E+003, 0.75882740E+003, 0.76034400E+003, 0.75953365E+003, 0.66282970E+003, 0.14392446E+002, 0.14394413E+002, 0.29391156E+002, 0.77172076E-002,-0.41504008E-006, 0.75779766E+001, 0.75779287E+001, 0.75778814E+001, 0.98868913E+002,-0.12129952E+003,-0.13803432E+002, 0.00000000E+000, 0.00000000E+000, 0.34978733E+007, 0.55424664E+002,
16959,17000,25, 0.16759000E+005, 0.65645702E+003, 0.75987122E+003, 0.75986797E+003, 0.62815000E+003, 0.64909989E+003, 0.75886459E+003, 0.76037506E+003, 0.75957129E+003, 0.66302026E+003, 0.14325864E+002, 0.14327680E+002, 0.29371621E+002, 0.70954342E-002,-0.46850547E-006, 0.78514674E+001, 0.78514203E+001, 0.78513740E+001, 0.98879983E+002,-0.12017743E+003,-0.14817749E+002, 0.00000000E+000, 0.00000000E+000, 0.34997485E+007, 0.55434877E+002,
17159,17200,25, 0.16959000E+005, 0.65610493E+003, 0.75986426E+003, 0.75986841E+003, 0.62815000E+003, 0.64918177E+003, 0.75890072E+003, 0.76040373E+003, 0.75960969E+003, 0.66318442E+003, 0.14281254E+002, 0.14281414E+002, 0.29350417E+002, 0.68389020E-003, 0.12284592E-006, 0.79165661E+001, 0.79165246E+001, 0.79164835E+001, 0.98883912E+002,-0.11940255E+003,-0.15064484E+002, 0.00000000E+000, 0.00000000E+000, 0.35013459E+007, 0.55443564E+002,
17359,17400,25, 0.17159000E+005, 0.65578383E+003, 0.75987511E+003, 0.75986851E+003, 0.62815000E+003, 0.64926705E+003, 0.75893172E+003, 0.76042727E+003, 0.75964392E+003, 0.66331802E+003, 0.14242571E+002, 0.14242793E+002, 0.29331598E+002, 0.91098908E-003, 0.75967189E-007, 0.63627656E+001, 0.63627298E+001, 0.63626939E+001, 0.98886472E+002,-0.11875762E+003,-0.97313350E+001, 0.00000000E+000, 0.00000000E+000, 0.35026536E+007, 0.55450671E+002,
17559,17600,25, 0.17359000E+005, 0.65561938E+003, 0.75988122E+003, 0.75986861E+003, 0.62815000E+003, 0.64934271E+003, 0.75895556E+003, 0.76044467E+003, 0.75967084E+003, 0.66342638E+003, 0.14139335E+002, 0.14139872E+002, 0.29310410E+002, 0.21297964E-002,-0.52676238E-007, 0.52218578E+001, 0.52218276E+001, 0.52217975E+001, 0.98886764E+002,-0.11704749E+003,-0.65543655E+001, 0.00000000E+000, 0.00000000E+000, 0.35037111E+007, 0.55456414E+002,
17759,17800,25, 0.17559000E+005, 0.65568219E+003, 0.75988039E+003, 0.75986882E+003, 0.62815000E+003, 0.64940889E+003, 0.75897542E+003, 0.76045863E+003, 0.75969353E+003, 0.66351196E+003, 0.14080349E+002, 0.14080346E+002, 0.29290459E+002,-0.46572464E-004,-0.91135237E-007, 0.45707229E+001, 0.45706979E+001, 0.45706731E+001, 0.98892383E+002,-0.11606408E+003,-0.50216953E+001, 0.00000000E+000, 0.00000000E+000, 0.35045545E+007, 0.55461005E+002,
17959,18000,25, 0.17759000E+005, 0.65580377E+003, 0.75987835E+003, 0.75986908E+003, 0.62815000E+003, 0.64948100E+003, 0.75899241E+003, 0.76047020E+003, 0.75971302E+003, 0.66361360E+003, 0.14076898E+002, 0.14075496E+002, 0.29279971E+002,-0.55872252E-002, 0.62638399E-007, 0.38737684E+001, 0.38737493E+001, 0.38737303E+001, 0.98919656E+002,-0.11598414E+003,-0.36070145E+001, 0.00000000E+000, 0.00000000E+000, 0.35055868E+007, 0.55466665E+002,
18159,18200,25, 0.17959000E+005, 0.65593759E+003, 0.75987541E+003, 0.75986933E+003, 0.62815000E+003, 0.64955961E+003, 0.75900605E+003, 0.76047919E+003, 0.75972864E+003, 0.66376216E+003, 0.14101291E+002, 0.14099204E+002, 0.29269925E+002,-0.83191954E-002, 0.87992890E-007, 0.29543520E+001, 0.29543366E+001, 0.29543213E+001, 0.98950643E+002,-0.11637517E+003,-0.20979979E+001, 0.00000000E+000, 0.00000000E+000, 0.35070810E+007, 0.55474838E+002,
18359,18400,25, 0.18159000E+005, 0.65607505E+003, 0.75986879E+003, 0.75986959E+003, 0.62815000E+003, 0.64963881E+003, 0.75901543E+003, 0.76048523E+003, 0.75973939E+003, 0.66393789E+003, 0.14135987E+002, 0.14133996E+002, 0.29252501E+002,-0.79647074E-002, 0.16265560E-008, 0.18029458E+001, 0.18029357E+001, 0.18029256E+001, 0.98968207E+002,-0.11695023E+003,-0.78135054E+000, 0.00000000E+000, 0.00000000E+000, 0.35088183E+007, 0.55484301E+002,
18559,18600,25, 0.18359000E+005, 0.65621436E+003, 0.75985676E+003, 0.75986979E+003, 0.62815000E+003, 0.64970261E+003, 0.75902029E+003, 0.76048832E+003, 0.75974497E+003, 0.66407515E+003, 0.14120637E+002, 0.14120578E+002, 0.29217861E+002,-0.33517765E-003,-0.27883157E-006, 0.74644777E+000, 0.74644337E+000, 0.74643896E+000, 0.98947145E+002,-0.11672830E+003,-0.13393048E+000, 0.00000000E+000, 0.00000000E+000, 0.35101164E+007, 0.55491298E+002,
18759,18800,25, 0.18559000E+005, 0.65635263E+003, 0.75983850E+003, 0.75986973E+003, 0.62815000E+003, 0.64975552E+003, 0.75902170E+003, 0.76048921E+003, 0.75974657E+003, 0.66412027E+003, 0.14095834E+002, 0.14096293E+002, 0.29183608E+002, 0.16830233E-002,-0.42804242E-006, 0.68714990E-002, 0.68713881E-002, 0.68712749E-002, 0.98919386E+002,-0.11632713E+003,-0.11349678E-004, 0.00000000E+000, 0.00000000E+000, 0.35105185E+007, 0.55493422E+002,
18959,19000,25, 0.18759000E+005, 0.65648633E+003, 0.75981704E+003, 0.75986920E+003, 0.62815000E+003, 0.64980471E+003, 0.75902169E+003, 0.76048788E+003, 0.75974656E+003, 0.66410508E+003, 0.14078190E+002, 0.14078665E+002, 0.29156677E+002, 0.17487555E-002,-0.43072919E-006,-0.56061318E+000,-0.56061312E+000,-0.56061317E+000, 0.98902695E+002,-0.11603638E+003, 0.75545252E-001, 0.00000000E+000, 0.00000000E+000, 0.35103473E+007, 0.55492458E+002,
19159,19200,25, 0.18959000E+005, 0.65661315E+003, 0.75979638E+003, 0.75986802E+003, 0.62815000E+003, 0.64985023E+003, 0.75902161E+003, 0.76048405E+003, 0.75974652E+003, 0.66406505E+003, 0.14060842E+002, 0.14061296E+002, 0.29133708E+002, 0.16684294E-002,-0.41773147E-006,-0.10813834E+001,-0.10813830E+001,-0.10813829E+001, 0.98892986E+002,-0.11575024E+003, 0.28108646E+000, 0.00000000E+000, 0.00000000E+000, 0.35099429E+007, 0.55490245E+002,
19359,19400,25, 0.19159000E+005, 0.65673229E+003, 0.75977611E+003, 0.75986611E+003, 0.62815000E+003, 0.64989158E+003, 0.75902135E+003, 0.76047790E+003, 0.75974645E+003, 0.66401715E+003, 0.14044672E+002, 0.14045072E+002, 0.29112252E+002, 0.14516019E-002,-0.41031149E-006,-0.15309619E+001,-0.15309614E+001,-0.15309612E+001, 0.98886280E+002,-0.11548327E+003, 0.56339028E+000, 0.00000000E+000, 0.00000000E+000, 0.35094658E+007, 0.55487644E+002,
19559,19600,25, 0.19359000E+005, 0.65684375E+003, 0.75975595E+003, 0.75986343E+003, 0.62815000E+003, 0.64992873E+003, 0.75902077E+003, 0.76047005E+003, 0.75974631E+003, 0.66396771E+003, 0.14029000E+002, 0.14029376E+002, 0.29091230E+002, 0.13599888E-002,-0.40275513E-006,-0.19008464E+001,-0.19008454E+001,-0.19008448E+001, 0.98880734E+002,-0.11522531E+003, 0.86850958E+000, 0.00000000E+000, 0.00000000E+000, 0.35089753E+007, 0.55484971E+002,
19759,19800,25, 0.19559000E+005, 0.65694789E+003, 0.75973584E+003, 0.75985998E+003, 0.62815000E+003, 0.64996176E+003, 0.75901976E+003, 0.76046090E+003, 0.75974602E+003, 0.66391887E+003, 0.14013437E+002, 0.14013818E+002, 0.29070212E+002, 0.13801533E-002,-0.40549150E-006,-0.21749069E+001,-0.21749047E+001,-0.21749028E+001, 0.98875604E+002,-0.11496990E+003, 0.11370038E+001, 0.00000000E+000, 0.00000000E+000, 0.35084911E+007, 0.55482334E+002,
19959,20000,25, 0.19759000E+005, 0.65704515E+003, 0.75971563E+003, 0.75985577E+003, 0.62815000E+003, 0.64999078E+003, 0.75901820E+003, 0.76045056E+003, 0.75974555E+003, 0.66387094E+003, 0.13997842E+002, 0.13998249E+002, 0.29049032E+002, 0.14852716E-002,-0.40769085E-006,-0.24899409E+001,-0.24899379E+001,-0.24899353E+001, 0.98870511E+002,-0.11471458E+003, 0.14902484E+001, 0.00000000E+000, 0.00000000E+000, 0.35080159E+007, 0.55479746E+002,
20159,20200,25, 0.19959000E+005, 0.65713595E+003, 0.75969512E+003, 0.75985081E+003, 0.62815000E+003, 0.65001593E+003, 0.75901588E+003, 0.76043883E+003, 0.75974486E+003, 0.66382374E+003, 0.13982074E+002, 0.13982465E+002, 0.29027592E+002, 0.14204748E-002,-0.40740392E-006,-0.28617553E+001,-0.28617512E+001,-0.28617475E+001, 0.98865316E+002,-0.11445603E+003, 0.19685460E+001, 0.00000000E+000, 0.00000000E+000, 0.35075505E+007, 0.55477210E+002,
20359,20400,25, 0.20159000E+005, 0.65722073E+003, 0.75967450E+003, 0.75984513E+003, 0.62815000E+003, 0.65003729E+003, 0.75901260E+003, 0.76042565E+003, 0.75974385E+003, 0.66377669E+003, 0.13965899E+002, 0.13966313E+002, 0.29005856E+002, 0.15109523E-002,-0.41096152E-006,-0.32204452E+001,-0.32204395E+001,-0.32204342E+001, 0.98859902E+002,-0.11419175E+003, 0.24929433E+001, 0.00000000E+000, 0.00000000E+000, 0.35070833E+007, 0.55474663E+002,
20559,20600,25, 0.20359000E+005, 0.65729982E+003, 0.75965361E+003, 0.75983875E+003, 0.62815000E+003, 0.65005495E+003, 0.75900822E+003, 0.76041137E+003, 0.75974244E+003, 0.66372933E+003, 0.13949174E+002, 0.13949623E+002, 0.28983861E+002, 0.16468668E-002,-0.42158466E-006,-0.34763238E+001,-0.34763154E+001,-0.34763072E+001, 0.98854332E+002,-0.11391900E+003, 0.29048320E+001, 0.00000000E+000, 0.00000000E+000, 0.35066128E+007, 0.55472098E+002,
20759,20800,25, 0.20559000E+005, 0.65737352E+003, 0.75963244E+003, 0.75983168E+003, 0.62815000E+003, 0.65006898E+003, 0.75900282E+003, 0.76039668E+003, 0.75974065E+003, 0.66368143E+003, 0.13931481E+002, 0.13931989E+002, 0.28961614E+002, 0.18814109E-002,-0.42738633E-006,-0.35447184E+001,-0.35447108E+001,-0.35447036E+001, 0.98848644E+002,-0.11363116E+003, 0.30202580E+001, 0.00000000E+000, 0.00000000E+000, 0.35061368E+007, 0.55469503E+002,
20959,21000,25, 0.20759000E+005, 0.65744212E+003, 0.75961101E+003, 0.75982395E+003, 0.62815000E+003, 0.65007938E+003, 0.75899673E+003, 0.76038241E+003, 0.75973857E+003, 0.66363290E+003, 0.13912663E+002, 0.13913208E+002, 0.28939082E+002, 0.20226095E-002,-0.43545907E-006,-0.34102057E+001,-0.34101988E+001,-0.34101922E+001, 0.98842865E+002,-0.11332499E+003, 0.27953856E+001, 0.00000000E+000, 0.00000000E+000, 0.35056574E+007, 0.55466890E+002,
21159,21200,25, 0.20959000E+005, 0.65750592E+003, 0.75958937E+003, 0.75981557E+003, 0.62815000E+003, 0.65008612E+003, 0.75899029E+003, 0.76036913E+003, 0.75973632E+003, 0.66358376E+003, 0.13892087E+002, 0.13892775E+002, 0.28916222E+002, 0.25905455E-002,-0.45165817E-006,-0.31986377E+001,-0.31986303E+001,-0.31986231E+001, 0.98837060E+002,-0.11299238E+003, 0.24592952E+001, 0.00000000E+000, 0.00000000E+000, 0.35051691E+007, 0.55464227E+002,
21359,21400,25, 0.21159000E+005, 0.65756513E+003, 0.75956763E+003, 0.75980656E+003, 0.62815000E+003, 0.65008922E+003, 0.75898378E+003, 0.76035704E+003, 0.75973402E+003, 0.66353421E+003, 0.13870913E+002, 0.13871586E+002, 0.28893054E+002, 0.25319364E-002,-0.44764106E-006,-0.29312688E+001,-0.29312609E+001,-0.29312532E+001, 0.98831314E+002,-0.11264798E+003, 0.20653415E+001, 0.00000000E+000, 0.00000000E+000, 0.35046768E+007, 0.55461542E+002,
21559,21600,25, 0.21359000E+005, 0.65761994E+003, 0.75954589E+003, 0.75979694E+003, 0.62815000E+003, 0.65008885E+003, 0.75897738E+003, 0.76034594E+003, 0.75973163E+003, 0.66348464E+003, 0.13849861E+002, 0.13850536E+002, 0.28869660E+002, 0.25399138E-002,-0.44952281E-006,-0.27765384E+001,-0.27765312E+001,-0.27765243E+001, 0.98825869E+002,-0.11230636E+003, 0.18530534E+001, 0.00000000E+000, 0.00000000E+000, 0.35041847E+007, 0.55458860E+002,
21759,21800,25, 0.21559000E+005, 0.65767054E+003, 0.75952425E+003, 0.75978674E+003, 0.62815000E+003, 0.65008526E+003, 0.75897195E+003, 0.76033537E+003, 0.75972914E+003, 0.66343596E+003, 0.13828300E+002, 0.13829062E+002, 0.28846063E+002, 0.28854215E-002,-0.45212113E-006,-0.27555284E+001,-0.27555230E+001,-0.27555179E+001, 0.98820793E+002,-0.11195838E+003, 0.18251155E+001, 0.00000000E+000, 0.00000000E+000, 0.35037047E+007, 0.55456243E+002,
21959,22000,25, 0.21759000E+005, 0.65771717E+003, 0.75950275E+003, 0.75977598E+003, 0.62815000E+003, 0.65007863E+003, 0.75896936E+003, 0.76032488E+003, 0.75972647E+003, 0.66338884E+003, 0.13807413E+002, 0.13808128E+002, 0.28822208E+002, 0.27025691E-002,-0.44526148E-006,-0.28262858E+001,-0.28262844E+001,-0.28262835E+001, 0.98816077E+002,-0.11161969E+003, 0.19200508E+001, 0.00000000E+000, 0.00000000E+000, 0.35032375E+007, 0.55453696E+002,
22159,22200,25, 0.21959000E+005, 0.65776018E+003, 0.75948120E+003, 0.75976470E+003, 0.62815000E+003, 0.65006901E+003, 0.75897155E+003, 0.76031411E+003, 0.75972352E+003, 0.66334341E+003, 0.13786717E+002, 0.13787436E+002, 0.28797938E+002, 0.27148328E-002,-0.44345665E-006,-0.29455289E+001,-0.29455359E+001,-0.29455437E+001, 0.98811446E+002,-0.11128540E+003, 0.20854854E+001, 0.00000000E+000, 0.00000000E+000, 0.35027869E+007, 0.55451240E+002,
